cluster,rank,term,ctfidf_score,discriminativeness,n_gram
17,7,digital art,0.009682194352133397,1.4377663362320887,2
17,8,ai art,0.009185729956421444,0.4520996105415749,2
17,9,creativity,0.00881080220309812,0.6472535865547773,1
17,10,fi,0.008416805995793787,3.0217651299522688,1
17,11,artistic,0.007586687719527861,1.0728457542603311,1
17,12,arts,0.006777866848886239,0.9345379838996122,1
17,13,technology,0.00675314954233812,0.8106970533067555,1
17,14,prompts,0.005839547629968662,3.46011841367877,1
17,15,al,0.005721720269222916,0.6929413782027144,1
17,16,et al,0.005721720269222916,0.7086900456940773,2
17,17,et,0.005418256653148118,0.6929413777326976,1
17,18,semantic,0.005117197927852803,7.815530096168568,1
17,19,intelligence,0.0050523839338169636,0.4799851273454902,1
17,20,creation,0.004621775277413525,2.0593646884619146,1
18,1,ai,0.03453177144550999,0.5127193793731555,1
18,2,art,0.019184317469727773,0.3004603681376661,1
18,3,human,0.014749200412620036,0.8074707870883279,1
18,4,copyright,0.011582277059323295,0.27324332050365563,1
18,5,generated,0.01077021626927529,0.9737059437969903,1
18,6,midjourney,0.009793060448040012,3.4650809750376617,1
18,7,allen,0.009199541633007284,16.310303306924233,1
18,8,artists,0.00895268148587296,0.4147373642723856,1
18,9,mr,0.008774645411141119,3.5432742739804777,1
18,10,images,0.007185507893327711,0.589990263786732,1
18,11,works,0.007185507893327711,0.5730767648384776,1
18,12,said,0.007125603631613172,1.184951436605543,1
18,13,data,0.006429138641398479,0.7927972684579394,1
18,14,creative,0.00624004632841617,0.5102712165569478,1
18,15,ai generated,0.005908194125606073,0.576206775936191,2
18,16,ai art,0.005893515208357313,0.2900646919798198,2
18,17,intelligence,0.005861861702451553,0.556886901824827,1
18,18,use,0.005672769389469245,0.9562383900098235,1
18,19,companies,0.005479290328039878,2.0475478448198157,1
18,20,using,0.0052763536492235865,1.0037847431219848,1
19,1,art,0.06384974350724285,1.3395030963096037,1
19,2,ai,0.02790635642799075,0.41434682176392973,1
19,3,ai art,0.02031793369653161,2.2119018925804386,2
19,4,generative,0.01871522114714661,2.1541335982367493,1
19,5,generative art,0.01645984244253563,13.393915259902851,2
19,6,artists,0.01451130534255519,0.6722433428934041,1
19,7,computer,0.00970418874296491,0.4469280168219593,1
19,8,barrat,0.008681882005269061,9.27756554851182,1
19,9,computer art,0.007583331555172908,1.851558890153245,2
19,10,botto,0.0071650069447870305,8.641317082026454,1
19,11,nake,0.0066532207344451,4.011710784720727,1
19,12,robbie,0.006552451961619741,8.553306868276502,1
19,13,klingemann,0.006164381195402276,1.9714828266821804,1
19,14,frieder,0.006141434524103169,3.7031176474345178,1
